"","gene_name","AveExpr","logFC","pvalue","fdr","hit_annotation","LipidProbe"
"38","MAP4",23.92832056,-0.588906804,0.014045288,0.374641965,"no hit","8-3 FA"
"39","RSF1",20.95213476,0.756673815,0.014133346,0.374641965,"no hit","8-3 FA"
"40","PPP6C",24.19445428,-0.362700373,0.014852935,0.374641965,"no hit","8-3 FA"
"41","FNTA",22.79467559,-0.444871907,0.015210274,0.374641965,"no hit","8-3 FA"
"42","NAP1L1",24.66850657,-0.47412014,0.015557948,0.374641965,"no hit","8-3 FA"
"43","COPZ1",23.78401415,-0.44032219,0.015876909,0.374641965,"no hit","8-3 FA"
"44","ABCF1",23.17579821,-0.41448882,0.017126081,0.374641965,"no hit","8-3 FA"
"45","VPS29",24.9049838,-0.288903698,0.017129651,0.374641965,"no hit","8-3 FA"
"46","NPLOC4",25.60024248,-0.263805937,0.018087173,0.374641965,"no hit","8-3 FA"
"47","HK1",24.34886848,0.285241316,0.018415022,0.374641965,"no hit","8-3 FA"
"48","NASP",25.21718509,-0.552177104,0.018859425,0.374641965,"no hit","8-3 FA"
"49","TMEM189-UBE2V1|UBE2V1",23.96119749,-0.622420623,0.019889455,0.374641965,"no hit","8-3 FA"
"50","PMPCA",23.33791098,0.282883474,0.0206306,0.374641965,"no hit","8-3 FA"
"51","ATIC",24.15756255,-0.459836298,0.020776817,0.374641965,"no hit","8-3 FA"
"52","CRTAP",25.22567992,0.30216639,0.020819898,0.374641965,"no hit","8-3 FA"
"53","PSMC5",22.27046332,-0.263335953,0.02083884,0.374641965,"no hit","8-3 FA"
"54","SCP2",24.60372574,0.331881704,0.021033252,0.374641965,"no hit","8-3 FA"
"55","DNMT1",24.1483543,-0.257041506,0.021068569,0.374641965,"no hit","8-3 FA"
"56","TUFM",26.16212037,0.254546649,0.021071954,0.374641965,"no hit","8-3 FA"
"57","RPSA",25.98205335,-0.357683695,0.021072576,0.374641965,"no hit","8-3 FA"
"58","TLN2",23.36765336,-0.305779427,0.022152619,0.374641965,"no hit","8-3 FA"
"59","DDX17",25.58538315,0.252000653,0.022245133,0.374641965,"no hit","8-3 FA"
"60","NUP58",22.73890669,0.473841836,0.022339405,0.374641965,"no hit","8-3 FA"
"61","SET",25.24337454,-0.56281675,0.02236266,0.374641965,"no hit","8-3 FA"
"62","PRC1",22.91933649,0.535446535,0.022487253,0.374641965,"no hit","8-3 FA"
"63","EXOSC5",23.20923614,0.479471871,0.024958847,0.374641965,"no hit","8-3 FA"
"64","SHMT2",25.93654172,0.344640052,0.025523984,0.374641965,"no hit","8-3 FA"
"65","DLST",25.16109547,0.258589743,0.026058096,0.374641965,"no hit","8-3 FA"
"66","SDHA",25.70603142,0.369012258,0.026137209,0.374641965,"no hit","8-3 FA"
"67","CTTN",23.9097751,-0.304005411,0.026926577,0.374641965,"no hit","8-3 FA"
"68","PGK1",25.26150137,-0.440398966,0.02705788,0.374641965,"no hit","8-3 FA"
"69","ALDH1B1",24.2113859,0.414177137,0.027462938,0.374641965,"no hit","8-3 FA"
"70","YWHAQ",25.47366136,-0.521487485,0.027516851,0.374641965,"no hit","8-3 FA"
"71","ANP32A",25.17743497,-0.579460873,0.027616749,0.374641965,"no hit","8-3 FA"
"72","IDH3A",25.32035027,0.272664643,0.029659395,0.374641965,"no hit","8-3 FA"
"73","ATP6V1B2",24.51301289,0.239739253,0.029831923,0.374641965,"no hit","8-3 FA"
"74","PPIA",26.0444885,-0.453584476,0.030288069,0.374641965,"no hit","8-3 FA"
"75","TPI1",24.6695963,-0.457533974,0.030385358,0.374641965,"no hit","8-3 FA"
"76","ANP32E",23.54362236,-0.629955665,0.030447316,0.374641965,"no hit","8-3 FA"
"77","DECR1",23.78260032,0.358835155,0.030459461,0.374641965,"no hit","8-3 FA"
"78","STIP1",26.046421,-0.415087186,0.030633259,0.374641965,"no hit","8-3 FA"
"79","CDK6",23.9131907,-0.321031464,0.030657215,0.374641965,"no hit","8-3 FA"
"80","ATP5A1",25.94876416,0.275987501,0.030717565,0.374641965,"no hit","8-3 FA"
"81","PLD3",23.57070852,0.265282894,0.031527355,0.374641965,"no hit","8-3 FA"
"82","RAB5C",23.63706298,0.297773814,0.031921817,0.374641965,"no hit","8-3 FA"
"83","OGDHL",24.3247292,0.288762253,0.032027499,0.374641965,"no hit","8-3 FA"
"84","ANP32B",24.63200684,-0.541225902,0.032139722,0.374641965,"no hit","8-3 FA"
"85","LMAN1",24.50102633,0.413219764,0.032321876,0.374641965,"no hit","8-3 FA"
"86","PCBP2",23.4093285,-0.286131484,0.032400384,0.374641965,"no hit","8-3 FA"
"87","GDI2",25.0290515,-0.463022109,0.032711284,0.374641965,"no hit","8-3 FA"
"88","NPEPPS",27.51960478,-0.335086209,0.032922287,0.374641965,"no hit","8-3 FA"
"89","NUDT5",24.50728167,-0.557697269,0.033655011,0.374641965,"no hit","8-3 FA"
"90","KTN1",27.37087049,0.414844958,0.033662969,0.374641965,"no hit","8-3 FA"
"91","UQCRC1",25.60646087,0.27683947,0.033818344,0.374641965,"no hit","8-3 FA"
"92","GOT2",26.238535,0.268182648,0.033975931,0.374641965,"no hit","8-3 FA"
"93","UBE3A",23.99003748,-0.366576738,0.034588243,0.374641965,"no hit","8-3 FA"
"94","CAD",26.29453456,-0.28747107,0.034842588,0.374641965,"no hit","8-3 FA"
"95","GSPT1",25.52726538,-0.357633991,0.034996411,0.374641965,"no hit","8-3 FA"
"96","KDELC2",23.53406663,0.396073454,0.035154496,0.374641965,"no hit","8-3 FA"
"97","HSPA4",25.79447589,-0.510956238,0.035193096,0.374641965,"no hit","8-3 FA"
"98","PGM1",22.76753288,-0.34298367,0.035688893,0.374641965,"no hit","8-3 FA"
"99","PLS3",25.86558393,-0.324965536,0.035927813,0.374641965,"no hit","8-3 FA"
"100","NSUN2",23.26195757,-0.292098391,0.035951345,0.374641965,"no hit","8-3 FA"
"101","TPM1",26.44429808,-0.544423748,0.036646527,0.374641965,"no hit","8-3 FA"
"102","LARS2",24.79574263,0.241089916,0.036648395,0.374641965,"no hit","8-3 FA"
"103","NACA",23.00272067,-0.579752066,0.036798134,0.374641965,"no hit","8-3 FA"
"104","LANCL2",23.56784205,-0.315236054,0.036888125,0.374641965,"no hit","8-3 FA"
"105","RPA1",23.15445138,-0.36063324,0.037089172,0.374641965,"no hit","8-3 FA"
"106","HSD17B4",23.5279618,0.381854197,0.037633237,0.374641965,"no hit","8-3 FA"
"107","ACAD9",24.25200025,0.402252609,0.037660334,0.374641965,"no hit","8-3 FA"
"108","ERH",24.34124714,0.287310424,0.03837691,0.374641965,"no hit","8-3 FA"
"109","VARS",26.48736472,-0.255366014,0.038527989,0.374641965,"no hit","8-3 FA"
"110","WDR77",22.86587834,-0.359120349,0.038950327,0.374641965,"no hit","8-3 FA"
"111","TSFM",23.61615802,0.299561037,0.03904184,0.374641965,"no hit","8-3 FA"
"112","RPS19",23.79978277,-0.350228496,0.039159707,0.374641965,"no hit","8-3 FA"
"113","ETFB",24.91281617,0.221734576,0.039336049,0.374641965,"no hit","8-3 FA"
"114","PDCL3",23.30340468,-0.316972614,0.039527657,0.374641965,"no hit","8-3 FA"
"115","PPIF",24.56852482,0.444173964,0.039925637,0.374641965,"no hit","8-3 FA"
"116","GLRX3",23.56934173,-0.447809882,0.039982487,0.374641965,"no hit","8-3 FA"
"117","DDX21",25.39703054,0.253837921,0.040119735,0.374641965,"no hit","8-3 FA"
"118","PLEC",30.17776006,0.221183561,0.040796117,0.374641965,"no hit","8-3 FA"
"119","CLIC4",25.87060115,-0.36962918,0.041237647,0.374641965,"no hit","8-3 FA"
"120","ACOT9",22.86659664,0.311400267,0.042142903,0.374641965,"no hit","8-3 FA"
"121","BUB3",23.69491118,-0.433023453,0.042411884,0.374641965,"no hit","8-3 FA"
"122","ACAT1",23.51151694,0.28521885,0.042589921,0.374641965,"no hit","8-3 FA"
"123","EEF1D",24.17625473,-0.387528794,0.042690639,0.374641965,"no hit","8-3 FA"
"124","PSME3",23.58174067,-0.261565207,0.043009501,0.374641965,"no hit","8-3 FA"
"125","EPRS",26.375082,-0.380516825,0.043297137,0.374641965,"no hit","8-3 FA"
"126","HSP90AA1",27.6626972,-0.344244483,0.043748159,0.374641965,"no hit","8-3 FA"
"127","USP5",25.55191316,-0.46094511,0.043879536,0.374641965,"no hit","8-3 FA"
"128","MRPL20",22.87979805,0.310822884,0.043880797,0.374641965,"no hit","8-3 FA"
"129","SMS",25.11270905,-0.359414796,0.044439569,0.374641965,"no hit","8-3 FA"
"130","AKR1C3",24.85935729,-0.382418705,0.04450609,0.374641965,"no hit","8-3 FA"
"131","XRCC5",26.34707055,-0.269581279,0.044546668,0.374641965,"no hit","8-3 FA"
"132","MAPRE3",23.83062805,-0.420098629,0.045849767,0.374641965,"no hit","8-3 FA"
"133","XPOT",23.82737793,-0.383132288,0.045972769,0.374641965,"no hit","8-3 FA"
"134","EIF4G2",25.35333827,-0.28530982,0.047519503,0.374641965,"no hit","8-3 FA"
"135","MTHFD1",24.94027577,-0.279880199,0.04792756,0.374641965,"no hit","8-3 FA"
"136","KIF5B",25.47443787,-0.326297077,0.048244973,0.374641965,"no hit","8-3 FA"
"137","PSMA5",24.58365817,-0.334987291,0.048814498,0.374641965,"no hit","8-3 FA"
"138","FKBP4",24.98116491,-0.427238204,0.048944042,0.374641965,"no hit","8-3 FA"
"139","CASK",22.59737969,0.544903793,0.049037008,0.374641965,"no hit","8-3 FA"
"140","EIF4A1",25.07161476,-0.266282718,0.049524664,0.374641965,"no hit","8-3 FA"
"141","HSPH1",24.91008358,-0.386512008,0.049545814,0.374641965,"no hit","8-3 FA"
"142","RBM14",23.81126893,0.307433932,0.049655373,0.374641965,"no hit","8-3 FA"
"143","RPLP0",25.19653938,-0.221348254,0.050032664,0.374641965,"no hit","8-3 FA"
"144","MIA3",22.96343882,0.282242443,0.050047511,0.374641965,"no hit","8-3 FA"
"145","EIF3D",24.48037881,-0.226016139,0.050079675,0.374641965,"no hit","8-3 FA"
"146","STAG1",23.18036851,0.712302741,0.050134879,0.374641965,"no hit","8-3 FA"
"147","EZR",26.3108335,-0.269361783,0.050264254,0.374641965,"no hit","8-3 FA"
"148","POLDIP2",24.50528508,0.214177359,0.050482429,0.374641965,"no hit","8-3 FA"
"149","RACK1",26.72283686,-0.330348157,0.050593951,0.374641965,"no hit","8-3 FA"
"150","DPP3",25.970941,-0.438202134,0.050869191,0.374641965,"no hit","8-3 FA"
"151","COPG1",25.62996911,-0.219559085,0.050889763,0.374641965,"no hit","8-3 FA"
"152","LDHB",26.12189671,-0.507346763,0.050904639,0.374641965,"no hit","8-3 FA"
"153","LDHA",26.18440212,-0.374745073,0.051694334,0.374641965,"no hit","8-3 FA"
"154","IMP3",22.38608821,0.479591135,0.051983541,0.374641965,"no hit","8-3 FA"
"155","SEC31A",25.59076225,-0.221109159,0.052016579,0.374641965,"no hit","8-3 FA"
"156","MTHFD1L",25.28625614,0.360007542,0.052821892,0.374641965,"no hit","8-3 FA"
"157","EIF3B",25.69263316,-0.274620625,0.053088827,0.374641965,"no hit","8-3 FA"
"158","MRE11A",22.07487033,0.326161897,0.053399365,0.374641965,"no hit","8-3 FA"
"159","ATP6V1E1",23.53762239,0.218404747,0.053757635,0.374641965,"no hit","8-3 FA"
"160","BPNT1",24.77634386,-0.427000195,0.053835903,0.374641965,"no hit","8-3 FA"
"161","DDX56",23.2187143,0.242543504,0.053860603,0.374641965,"no hit","8-3 FA"
"162","YWHAB",24.79095125,-0.555811092,0.054026531,0.374641965,"no hit","8-3 FA"
"163","MTPAP",23.64821856,0.396988054,0.054370648,0.374641965,"no hit","8-3 FA"
"164","PDCD11",24.3706453,0.349959069,0.054420976,0.374641965,"no hit","8-3 FA"
"165","CNDP2",22.51177945,-0.596649025,0.054753159,0.374644345,"no hit","8-3 FA"
"166","IDH2",24.55749275,0.310040522,0.05549382,0.377424838,"no hit","8-3 FA"
"167","CAPZA1",23.22682445,-0.294889671,0.056812662,0.38408081,"no hit","8-3 FA"
"168","EPB41L2",22.5835918,0.362389108,0.057881633,0.388978355,"no hit","8-3 FA"
"169","RPS9",25.04890691,-0.312840069,0.059158555,0.39520715,"no hit","8-3 FA"
"170","DCTN1",25.47781186,-0.244183933,0.059855759,0.396170458,"no hit","8-3 FA"
"171","RPS12",24.45747647,-0.230557712,0.060629055,0.396170458,"no hit","8-3 FA"
"172","ALDOA",26.8295179,-0.310466028,0.060742583,0.396170458,"no hit","8-3 FA"
"173","GART",25.29943026,-0.30030695,0.061309071,0.396170458,"no hit","8-3 FA"
"174","KIAA1429",24.96229483,0.50940365,0.061424441,0.396170458,"no hit","8-3 FA"
"175","NAXE",23.46283878,-0.388241289,0.061640038,0.396170458,"no hit","8-3 FA"
"176","MGEA5",25.36418102,-0.349570567,0.061759079,0.396170458,"no hit","8-3 FA"
"177","NUP54",23.50189463,0.265511995,0.063618394,0.400974148,"no hit","8-3 FA"
"178","OSBPL1A",23.2296546,-0.432951457,0.063772355,0.400974148,"no hit","8-3 FA"
"179","ARHGDIA",24.12230401,-0.490998159,0.063856189,0.400974148,"no hit","8-3 FA"
"180","CPSF1",25.11733966,0.271930512,0.064078841,0.400974148,"no hit","8-3 FA"
"181","PTGES3",24.54966673,-0.580942275,0.064283721,0.400974148,"no hit","8-3 FA"
"182","DPYSL3",24.56807218,-0.280297205,0.065197079,0.402849711,"no hit","8-3 FA"
"183","HEATR1",24.87600575,0.450506482,0.065710095,0.402849711,"no hit","8-3 FA"
"184","DIS3",23.371729,-0.293707631,0.065915224,0.402849711,"no hit","8-3 FA"
"185","OTUB1",23.33824337,-0.405116247,0.067031817,0.402849711,"no hit","8-3 FA"
"186","SQRDL",23.94843896,0.230784634,0.067216274,0.402849711,"no hit","8-3 FA"
"187","NXN",23.02273296,-0.40431336,0.067729178,0.402849711,"no hit","8-3 FA"
"188","TGM3",22.54538211,0.694220502,0.068191327,0.402849711,"no hit","8-3 FA"
"189","NRDC",25.27720102,-0.310109395,0.068474567,0.402849711,"no hit","8-3 FA"
"190","PDHA1",25.88857428,0.2260874,0.068480873,0.402849711,"no hit","8-3 FA"
"191","IVD",24.17334124,0.289585189,0.068546069,0.402849711,"no hit","8-3 FA"
"192","GSTP1",25.19206289,-0.638598128,0.068679952,0.402849711,"no hit","8-3 FA"
"193","ACADSB",24.50480456,0.275059995,0.068866248,0.402849711,"no hit","8-3 FA"
"194","S100A10",22.84069786,0.298790701,0.06951289,0.404536355,"no hit","8-3 FA"
"195","SFPQ",24.82648949,0.199967054,0.070111488,0.40592754,"no hit","8-3 FA"
"196","DNAJC3",24.1001326,0.299021294,0.070917654,0.40705369,"no hit","8-3 FA"
"197","LASP1",24.17818505,-0.600682133,0.071467814,0.40705369,"no hit","8-3 FA"
"198","YWHAH",24.98488383,-0.373091141,0.071485293,0.40705369,"no hit","8-3 FA"
"199","UBA1",26.69602389,-0.307398097,0.07174817,0.40705369,"no hit","8-3 FA"
"200","NOP56",24.76495738,0.381309721,0.072134805,0.407200972,"no hit","8-3 FA"
"201","ARHGAP1",25.05805604,-0.31263425,0.073296996,0.40870954,"no hit","8-3 FA"
"202","NAT10",25.93784474,0.310899117,0.073778952,0.40870954,"no hit","8-3 FA"
"203","YBX1",23.03290331,-0.234878862,0.073891786,0.40870954,"no hit","8-3 FA"
"204","PUS1",25.12732082,0.231663233,0.074209997,0.40870954,"no hit","8-3 FA"
"205","PPP1CC",23.49793012,0.241614461,0.074212095,0.40870954,"no hit","8-3 FA"
"206","FH",24.89258583,0.296843119,0.074612139,0.408917983,"no hit","8-3 FA"
"207","XPNPEP1",24.36688288,-0.378098891,0.075519937,0.411573651,"no hit","8-3 FA"
"208","GMPS",24.99544136,-0.30069099,0.076628138,0.411573651,"no hit","8-3 FA"
"209","BCCIP",22.24632719,-0.291752304,0.076841462,0.411573651,"no hit","8-3 FA"
"210","THOC3",24.13058982,0.200193849,0.076955922,0.411573651,"no hit","8-3 FA"
"211","CS",25.55567249,0.251934767,0.078103045,0.411573651,"no hit","8-3 FA"
"212","EIF1AY|EIF1AX",23.96818073,-0.301845317,0.079384532,0.411573651,"no hit","8-3 FA"
"213","CLIC1",25.67060636,-0.39583859,0.080511305,0.411573651,"no hit","8-3 FA"
"214","DARS2",23.67859763,0.228456546,0.080684847,0.411573651,"no hit","8-3 FA"
"215","PLOD1",24.57823708,0.282766883,0.080791153,0.411573651,"no hit","8-3 FA"
"216","SYNE1",23.07911272,0.212972685,0.081069686,0.411573651,"no hit","8-3 FA"
"217","EEF1B2",25.50556412,-0.453248566,0.081286529,0.411573651,"no hit","8-3 FA"
"218","ARCN1",23.45877525,-0.220904716,0.081904526,0.411573651,"no hit","8-3 FA"
"219","STRBP",24.41152147,0.269041407,0.082172644,0.411573651,"no hit","8-3 FA"
"220","ELAC2",23.23468733,0.280032705,0.082571729,0.411573651,"no hit","8-3 FA"
"221","CPOX",24.34865112,0.244253776,0.082586948,0.411573651,"no hit","8-3 FA"
"222","PYCR1",22.73199066,0.26318616,0.082854714,0.411573651,"no hit","8-3 FA"
"223","SSB",25.07706026,-0.435706345,0.082901009,0.411573651,"no hit","8-3 FA"
"224","PFN1",25.24771612,-0.469984479,0.083101982,0.411573651,"no hit","8-3 FA"
"225","TPM3",25.43708417,-0.43857413,0.083209732,0.411573651,"no hit","8-3 FA"
"226","COQ9",24.24629733,0.216404027,0.083420011,0.411573651,"no hit","8-3 FA"
"227","ANXA1",25.09406498,-0.425898979,0.083656265,0.411573651,"no hit","8-3 FA"
"228","DAP3",23.70732933,0.44748198,0.083759465,0.411573651,"no hit","8-3 FA"
"229","MAP1B",25.86366292,-0.599251904,0.083931593,0.411573651,"no hit","8-3 FA"
"230","SUPV3L1",24.46136917,0.410808795,0.084184929,0.411573651,"no hit","8-3 FA"
"231","MSN",24.93857108,-0.222946787,0.084458895,0.411573651,"no hit","8-3 FA"
"232","ALDH3A2",23.62345831,0.326915224,0.084574922,0.411573651,"no hit","8-3 FA"
"233","PRKCSH",25.29129407,-0.780585506,0.085098516,0.412344314,"no hit","8-3 FA"
"234","SAE1",23.64811953,-0.435528005,0.085634632,0.413168804,"no hit","8-3 FA"
"235","DNAJC7",23.67294842,-0.260305755,0.087091948,0.414302565,"no hit","8-3 FA"
"236","MALT1",25.83548996,-0.334065002,0.087623786,0.414302565,"no hit","8-3 FA"
"237","HDLBP",25.29473527,-0.210927637,0.087685144,0.414302565,"no hit","8-3 FA"
"238","CAP1",24.37894752,-0.312296798,0.088251603,0.414302565,"no hit","8-3 FA"
"239","ETF1",24.41564832,-0.279421241,0.088504673,0.414302565,"no hit","8-3 FA"
"240","PSMA3",25.21182799,-0.273426283,0.088597391,0.414302565,"no hit","8-3 FA"
"241","IPO7",26.7927866,-0.210643731,0.088774372,0.414302565,"no hit","8-3 FA"
"242","BYSL",21.97720108,0.248930979,0.088805333,0.414302565,"no hit","8-3 FA"
"243","ENOPH1",23.14654759,-0.336813261,0.089905165,0.414554244,"no hit","8-3 FA"
"244","TNKS1BP1",24.15451511,-0.203787692,0.089913264,0.414554244,"no hit","8-3 FA"
"245","PFAS",25.76282623,-0.337751345,0.089960841,0.414554244,"no hit","8-3 FA"
"246","EEA1",26.68827793,0.17988098,0.090865373,0.416888507,"no hit","8-3 FA"
"247","HOGA1",22.99081607,0.318003155,0.0912059,0.416888507,"no hit","8-3 FA"
"248","CUL1",24.14708646,-0.187844572,0.091712885,0.417515511,"no hit","8-3 FA"
"249","EIF4E",23.66337277,-0.209505457,0.092446969,0.41835326,"no hit","8-3 FA"
"250","CLYBL",24.39323384,0.269921052,0.092638011,0.41835326,"no hit","8-3 FA"
"251","PRDX6",25.4725995,-0.778226623,0.093789182,0.419105538,"no hit","8-3 FA"
"252","PMPCB",24.78102832,0.186181822,0.094385399,0.419105538,"no hit","8-3 FA"
"253","CLTB",24.32011388,-0.374057972,0.096095603,0.419105538,"no hit","8-3 FA"
"254","THOC1",24.51685907,0.337578015,0.096881806,0.419105538,"no hit","8-3 FA"
"255","AHCY",26.02569742,-0.275566933,0.097113151,0.419105538,"no hit","8-3 FA"
"256","HDGF",24.150854,-0.385119806,0.097170608,0.419105538,"no hit","8-3 FA"
"257","PPID",24.06294113,-0.395324057,0.097572795,0.419105538,"no hit","8-3 FA"
"258","AARS",25.88023515,-0.652922894,0.097942535,0.419105538,"no hit","8-3 FA"
"259","MRPL38",23.08103121,0.329476194,0.098078124,0.419105538,"no hit","8-3 FA"
"260","DHX9",26.99810337,0.360589071,0.098842808,0.419105538,"no hit","8-3 FA"
"261","PSMC1",23.2575344,-0.212739194,0.098913564,0.419105538,"no hit","8-3 FA"
"262","THOC2",23.42423519,0.312131997,0.099327815,0.419105538,"no hit","8-3 FA"
"263","PPP2R1A",25.98107385,-0.209852965,0.099786478,0.419105538,"no hit","8-3 FA"
"264","MARS2",23.23500873,0.231989531,0.099861405,0.419105538,"no hit","8-3 FA"
"265","EIF3M",23.6765552,-0.2689846,0.099888713,0.419105538,"no hit","8-3 FA"
"266","PICALM",23.6798606,-0.181112554,0.100079806,0.419105538,"no hit","8-3 FA"
"267","SGTA",24.24697168,-0.381366703,0.100843606,0.419105538,"no hit","8-3 FA"
"268","HSPB1",25.3823371,-0.521428287,0.100983855,0.419105538,"no hit","8-3 FA"
"269","ENO1",26.39436188,-0.363317988,0.101061296,0.419105538,"no hit","8-3 FA"
"270","RARS",25.90609059,-0.189323979,0.101307501,0.419105538,"no hit","8-3 FA"
"271","PRKAR1A",24.79359409,-0.18694517,0.101383585,0.419105538,"no hit","8-3 FA"
"272","LETM1",24.14362588,0.239752872,0.101672599,0.419105538,"no hit","8-3 FA"
"273","SQSTM1",23.311982,0.195219496,0.10189258,0.419105538,"no hit","8-3 FA"
"274","PABPC1",26.18645296,-0.195966844,0.102563231,0.419105538,"no hit","8-3 FA"
"275","IARS2",24.74708756,0.243597404,0.102961043,0.419105538,"no hit","8-3 FA"
"276","LAMB1",26.43260091,0.261583225,0.103623841,0.419105538,"no hit","8-3 FA"
"277","SF3B3",27.06409764,0.335992054,0.10365629,0.419105538,"no hit","8-3 FA"
"278","RPL5",24.26626357,-0.308957578,0.103995308,0.419105538,"no hit","8-3 FA"
"279","RRM2",24.1339693,-0.426661964,0.104369032,0.419105538,"no hit","8-3 FA"
"280","PTMA",24.52954414,-0.636065832,0.10441191,0.419105538,"no hit","8-3 FA"
"281","ABCE1",23.28874611,-0.346934124,0.104504818,0.419105538,"no hit","8-3 FA"
"282","NUDCD1",23.04617339,-0.257471856,0.10468358,0.419105538,"no hit","8-3 FA"
"283","LEO1",23.33692406,-0.21782916,0.106054132,0.42228358,"no hit","8-3 FA"
"284","TLN1",27.4105613,-0.232887424,0.106225453,0.42228358,"no hit","8-3 FA"
"285","DNAJB11",24.41304679,0.289944179,0.106671332,0.422568189,"no hit","8-3 FA"
"286","PSMA1",25.0827848,-0.223759271,0.1082755,0.422621487,"no hit","8-3 FA"
"287","RAD23B",25.00900831,-0.445717672,0.108415429,0.422621487,"no hit","8-3 FA"
"288","SNRNP200",26.59472207,0.218717214,0.109957136,0.422621487,"no hit","8-3 FA"
"289","PPP5C",25.44367919,-0.339124594,0.110529965,0.422621487,"no hit","8-3 FA"
"290","CAPNS1",24.80582275,-0.431446067,0.110770473,0.422621487,"no hit","8-3 FA"
"291","EIF4G1",26.25758597,-0.282797603,0.11121168,0.422621487,"no hit","8-3 FA"
"292","ALDH18A1",25.08641322,0.255698575,0.111384139,0.422621487,"no hit","8-3 FA"
"293","NUCB2|Nucb2|HEL-S-109",24.19793587,0.250248595,0.111663881,0.422621487,"no hit","8-3 FA"
"294","TPT1",22.48559227,-0.31207408,0.111771784,0.422621487,"no hit","8-3 FA"
"295","GLRX5",24.65147375,0.173959823,0.112532068,0.422621487,"no hit","8-3 FA"
"296","FKBP9",25.91016798,0.204196818,0.112727561,0.422621487,"no hit","8-3 FA"
"297","IDH1",23.86131256,-0.479094075,0.112992472,0.422621487,"no hit","8-3 FA"
"298","MAPK1",24.28675501,-0.247976312,0.113058729,0.422621487,"no hit","8-3 FA"
"299","LRPPRC",27.28294095,0.2750856,0.114102897,0.422621487,"no hit","8-3 FA"
"300","RAB7A",25.08181849,0.172042883,0.11432536,0.422621487,"no hit","8-3 FA"
